,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Gdp_bn,15671.4,15752.3,15667.0,15328.0,15155.9,15134.1,15189.2,15356.1,15415.1,15557.3,15672.0,15750.6,15712.8,15825.1,15820.7,16004.1,16129.4,16198.8,16220.7,16239.1,16383.0,16403.2,16531.7,16663.6,16616.5,16841.5,17047.1,17143.0,17277.6,17405.7,17463.2,17468.9,17556.8,17639.4,17735.1,17824.2,17925.3,18021.0,18163.6,18322.5,18438.3,18598.1,18732.7,18783.5
Imports_Q,499293138893,546764933914,568544457479,475880224242,352671071726,359662090967,403440413977,433389908612,422974305699,476011585435,499207268267,502393508288,502272663685,554187460357,569412566453,562121343992,545277655543,574091400504,566638293629,565765357114,531562072333,566021859450,572414285280,571105249142,544620427806,591978500137,596368091828,591972539792,538558792347,568204939444,568398404421,552075173482,509584725369,541555281191,557425756484,563616860651,544727870772,581478043846,583620918022,617533499957,600281481314,635194520873,655408320697,661522631481
Exports_Q,286100134343,310017999722,307081151712,266622032957,219688843817,223329484611,234144259017,259582370946,261596045992,276737301213,279305007514,304928888400,308557611325,327284401187,327666035715,336616906747,333550322823,341512952493,331448703181,345698929789,334601386839,343109155140,336940676691,356482842535,339438777904,353703119279,349297939316,356410453751,319406766702,332932828461,318599122020,315233645088,292917175722,307793938670,306405662757,319808841556,315286626992,325140579184,322800939675,344470197437,340663620280,364314557175,352113434125,356355590457
Ur_Q,5.0,5.3,6.0,6.9,8.3,9.3,9.6,9.9,9.8,9.6,9.5,9.5,9.0,9.1,9.0,8.6,8.3,8.2,8.0,7.8,7.7,7.5,7.2,6.9,6.7,6.2,6.1,5.7,5.5,5.4,5.1,5.0,4.9,4.9,4.9,4.8,4.6,4.4,4.3,4.1,4.1,3.9,3.8,3.8
